site,Site,ForbAvg,ForbSD,GrassAvg,GrassSD,WoodyAvg,WoodySD,BareAvg,BareSD,WdyStemsAvg,WdyStemsSD,SpurgeStmAvg,SpurgeStmSD,LiveHtAvg,LiveHtSD,VORAvg,VORSD,LitterDptAvg,LitterDptSD,Time1,Date1,Wind1,Time2,Date2,Wind2,Time3,Date3,Wind3,Time4,Date4,Wind4,BoVisit1,BoVisit2,BoVisit3,BoVisit4,SaVisit1,SaVisit2,SaVisit3,SaVisit4,SeVisit1,SeVisit2,SeVisit3,SeVisit4,LcVisit1,LcVisit2,LcVisit3,LcVisit4,WeVisit1,WeVisit2,WeVisit3,WeVisit4,CcVisit1,CcVisit2,CcVisit3,CcVisit4,Trees,Shrubs,WoodyIndex,NewPoint,UTM_E,UTM_N,EigenOne,EigenTwo,EigenThree,EigenFour
FA24NE1,FA24NE,8,9.082951062,91,10.24695077,1,2.236067977,3,2.738612788,0.4,0.894427191,0,0,23.365,4.744753682,9.625,1.438858054,0.43,0.334664011,3.433333333,7,3,0,16,1,0.133333333,24,1,3.433333333,35,1,0,1,0,2,2,4,4,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Y,631628.9658,5295665.025,0.218329078,0.09352233,0.020147509,0.009314332
FA24NE2,FA24NE,1,2.236067977,99,2.236067977,0,0,1,2.236067977,0,0,0,0,49.815,3.823471917,21.625,7.07934937,1.445,1.158042529,3.616666667,7,3,0.366666667,16,0,0.5,24,0,3.616666667,35,3,0,0,2,2,4,5,5,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Y,631269.1318,5295593.058,0.218354554,0.09353564,0.020154444,0.00929905
FE17NW3,FE17NW,9,10.83974169,91,10.83974169,0,0,0,0,0,0,0,0,45.245,3.44385322,36.875,5.728219619,3.005,2.291451505,2.083333333,6,1,1.366666667,15,0,1.983333333,23,1,1.466666667,34,0,2,2,3,2,5,5,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,N,631948.4988,5326083.244,-0.104813386,-0.040551775,-0.158472962,0.22495309
FE17NW4,FE17NW,18,12.5499004,82,12.5499004,0,0,0,0,0,0,0,0,28.745,8.444717284,20.25,9.515612172,3.205,2.212281063,1.933333333,6,1,1.516666667,15,0,1.833333333,23,0,1.316666667,34,1,1,0,0,1,4,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,Y,632048.9777,5325877.186,-0.104580979,-0.040955832,-0.158607127,0.22540515
FE27NE1,FE27NE,1,2.236067977,99,2.236067977,0,0,0,0,0,0,0,0,54.285,4.099527412,45.5,5.329018437,5.19,1.793617155,0.75,6,0,1.933333333,15,0,0.6,23,0,2.033333333,34,1,4,2,2,1,1,2,2,4,2,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,4,Y,635725.6792,5323062.926,0.016554739,-0.153272367,-0.275115459,-0.087520521
FE27NE3,FE27NE,1,2.236067977,99,2.236067977,0,0,0,0,0,0,0,0,51.82,9.625720752,38.75,7.756046029,5.65,2.006551769,0.9,6,0,2.3,15,1,1.166666667,23,0,2.383333333,34,1,2,1,1,1,2,3,5,4,1,2,2,1,0,0,0,0,0,0,0,0,1,1,1,1,4,0,4,Y,635942.6512,5322905.975,0.022488903,-0.16281648,-0.26103746,-0.03951915
FE27NE4,FE27NE,2,4.472135955,98,4.472135955,0,0,0,0,0,0,0,0,47.49,2.6262854,39.75,7.023954549,4.245,1.809039801,1.266666667,6,1,2.483333333,15,1,1,23,0,2.55,34,1,1,1,1,1,2,2,3,2,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,11,7,18,Y,636235.228,5322736.174,0.028288644,-0.170660737,-0.240502528,0.015710514
FE27NE5,FE27NE,3,4.472135955,97,4.472135955,0,0,0,0,0,0,0,0,55.29,5.10298932,44.75,3.893102876,9.62,6.378709705,1.483333333,6,1,2.116666667,15,1,1.333333333,23,0,2.216666667,34,1,3,2,3,2,2,3,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,3,14,17,N,635783.5639,5322709.568,0.022483309,-0.163038098,-0.261012553,-0.039563806
GI25SE1,GI25SE,1,2.236067977,99,2.236067977,0,0,1,2.236067977,0,0,0,0,47.45,6.145908192,31.375,5.217907866,3.29,2.903101789,2.766666667,8,4,3.916666667,18,1,0.716666667,28,0,2.266666667,36,1,2,2,2,1,3,3,5,4,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N,619761.3655,5322088.595,-0.075817547,-0.084122475,0.232625769,0.165735666
GI25SE2,GI25SE,2,2.738612788,98,2.738612788,0,0,0,0,0,0,0,0,67.905,4.831452939,50.375,4.647748111,3.18,4.410867262,2.416666667,8,3,4.25,18,1,0.366666667,28,0,2.05,36,1,2,3,1,4,2,2,3,3,2,2,3,2,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,N,620239.3515,5322094.998,-0.075994087,-0.084297383,0.232629149,0.166139846
GI25SE3,GI25SE,1,2.236067977,99,2.236067977,0,0,0,0,0,0,0,0,46.945,12.16628795,28.625,6.318375978,1.165,1.13448777,2.583333333,8,4,4.083333333,18,0,0.55,28,0,1.866666667,36,1,2,1,1,2,4,4,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,620006.0971,5321859.516,-0.075741995,-0.084473235,0.232643013,0.165278724
GI25SE4,GI25SE,4,6.519202405,96,6.519202405,0,0,0,0,0,0,0,0,52.005,5.209048618,39,10.13194206,4.3,3.253651795,2.233333333,8,3,3.55,18,1,0.183333333,28,0,1.7,36,1,4,2,0,0,3,3,4,4,0,2,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,N,620176.3397,5321689.256,-0.075674525,-0.08472482,0.232642636,0.164920173
GI25SE5,GI25SE,4,4.183300133,96,4.183300133,0,0,0,0,0,0,0,0,52.395,2.105825254,34.625,7.09313048,6.43,1.330695307,2.95,8,4,3.733333333,18,1,0.916666667,28,0,2.45,36,1,2,2,2,2,3,2,5,3,0,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,N,619781.3713,5321630.643,-0.064078944,-0.078941633,0.267903098,0.028559489
LA16NW1,LA16NW,7,4.472135955,93,4.472135955,0,0,2,4.472135955,0,0,0,0,39.685,20.52265212,27.125,18.78434355,3.57,2.989533827,3.233333333,6,4,0.183333333,15,0,2.716666667,23,1,0.35,34,0,1,1,1,0,4,2,4,3,1,3,1,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,Y,623757.5809,5326053.266,-0.115554551,-0.057431225,0.010526125,-0.188631768
LA16NW2,LA16NW,0,0,100,0,0,0,0,0,0,0,0,0,117.65,78.29853128,59.375,10.26979795,11.03,6.199606842,2.6,6,2,0,15,0,2.55,23,1,0.166666667,34,0,1,0,0,0,2,1,3,2,2,3,2,3,0,2,0,1,0,2,1,2,0,0,0,0,0,0,0,Y,624057.619,5326134.229,-0.115614319,-0.057383386,0.009790379,-0.188930521
LA16NW3,LA16NW,3,4.472135955,97,4.472135955,0,0,1,2.236067977,0,0,0,0,50.605,13.45091075,33.875,14.30280785,5.375,4.123977146,2.75,6,3,0.55,15,0,3.05,23,2,0.7,34,0,1,0,0,0,4,3,5,4,0,2,3,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,N,623958.6928,5325916.793,-0.115482175,-0.057768551,0.010249349,-0.188917485
LA16NW5,LA16NW,6,8.215838363,94,8.215838363,0,0,0,0,0,0,0,0,56.925,22.00764072,34.375,17.77682832,3.87,2.704591004,3.066666667,6,3,0.366666667,15,0,2.883333333,23,1,0.533333333,34,0,2,1,0,1,3,2,4,4,1,3,1,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,N,623727.292,5325678.113,-0.115321702,-0.058142727,0.011015627,-0.188753902
LE14SW1,LE14SW,15,14.57737974,85,14.57737974,0,0,0,0,0,0,0,0,43.03,8.216625676,30.375,5.387340485,3.205,2.404838872,1.3,3,3,1.266666667,12,0,1.55,19,0,1.983333333,30,1,1,1,1,0,2,3,5,4,0,2,0,2,1,1,1,0,0,0,0,0,0,1,1,2,3,0,3,Y,626892.8666,5334889.682,-0.107454169,0.148209953,-0.094151336,-0.129582058
LE14SW2,LE14SW,8,2.738612788,92,2.738612788,0,0,0,0,0,0,0,0,57.995,14.84333184,33.625,12.40904408,2.305,0.68131307,1.116666667,3,3,1.066666667,12,0,1.716666667,19,0,1.816666667,30,1,0,0,2,0,2,4,3,5,2,2,0,1,0,0,0,0,1,0,1,0,0,1,2,1,3,0,3,N,627208.6718,5335034.433,-0.107307696,0.148118706,-0.094253377,-0.129550269
LE14SW4,LE14SW,8,12.5499004,92,12.5499004,0,0,0,0,0,0,0,0,45.61,6.52295466,32.125,8.096102457,2.895,1.54286665,0.95,3,4,0.9,12,0,1.866666667,19,0,1.65,30,0,1,0,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,Y,627199.7839,5334733.048,-0.107460079,0.148159642,-0.09429188,-0.129569587
LE14SW5,LE14SW,1,2.236067977,99,2.236067977,0,0,0,0,0,0,0,0,56.4,6.915855876,37.75,10.40770448,4.49,1.617637166,0.75,3,3,0.716666667,12,0,1.383333333,19,0,1.466666667,30,1,3,2,2,0,3,3,3,2,0,3,1,1,1,1,2,1,0,0,0,0,1,1,1,1,3,3,6,N,626807.5616,5334623.856,-0.107600055,0.148257957,-0.094151993,-0.129599443
LE20NE1,LE20NE,0,0,100,0,0,0,0,0,0,0,0,0,56.58,4.054218482,38.375,3.205220351,2.38,0.922530487,0.333333333,3,3,1.933333333,12,0,1.016666667,19,0,0.3,30,0,0,2,0,0,3,1,3,3,2,1,1,2,1,0,1,1,0,0,1,1,1,2,1,1,2,0,2,Y,622763.5919,5333992.356,-0.127797468,0.118955299,0.041916233,0.080601611
LE20NE2,LE20NE,23,14.83239697,77,14.83239697,0,0,0,0,0,0,0,0,51.845,3.249971154,32.375,7.413564426,5.25,0.800195289,0.166666667,3,3,1.783333333,12,0,0.866666667,19,0,0.15,30,0,1,1,2,0,3,2,4,4,0,0,0,0,0,0,0,1,2,1,2,1,0,2,2,2,3,0,3,Y,622936.8943,5333775.397,-0.127962223,0.118950061,0.042012418,0.080902027
LE20NE3,LE20NE,6,2.236067977,94,2.236067977,0,0,0,0,0,0,0,0,47.74,6.03628611,37.5,7.043392293,4.045,2.509880475,0,3,4,1.633333333,12,0,0.716666667,19,0,0,30,0,2,1,2,0,2,3,3,3,1,0,0,2,1,0,0,1,1,1,2,1,0,2,2,0,0,0,0,Y,623172.3739,5333951.345,-0.127912978,0.119060874,0.041575272,0.08035337
LE24SW1,LE24SW,21,28.15137652,79,28.15137652,0,0,0,0,0,0,0,0,52.36,6.152910896,36.375,7.823741912,5.29,1.583567965,1.666666667,3,2,0,12,0,2.25,19,0,2.316666667,30,1,2,1,1,0,2,3,2,2,1,2,2,2,0,1,0,0,0,0,0,0,3,2,2,2,26,5,31,Y,628366.8303,5333410.417,-0.106707402,0.137116278,-0.125496105,-0.155863363
LE24SW2,LE24SW,14,15.5724115,86,15.5724115,0,0,0,0,0,0,0,0,41.72,9.334184485,24.625,6.474107081,4.735,1.486669936,1.85,3,3,0.166666667,12,0,2.416666667,19,1,2.483333333,30,1,1,1,0,1,4,3,4,3,1,4,2,2,1,1,0,0,0,0,0,0,0,1,1,1,4,0,4,Y,628674.8059,5333418.355,-0.104122419,0.114170978,-0.183794244,-0.179740531
LE24SW3,LE24SW,27,31.93743885,73,31.93743885,0,0,0,0,0,0,0,0,55.76,16.57462858,44.75,14.54115926,3.91,2.068483744,2,3,3,0.35,12,0,2.583333333,19,1,2.65,30,1,0,1,1,0,2,2,3,1,2,4,3,2,0,1,0,0,0,0,0,0,0,3,1,3,4,0,4,Y,628735.9248,5333153.242,-0.102623855,0.102105877,-0.210834588,-0.175083564
LE31SE1,LE31SE,10,11.7260394,90,11.7260394,0,0,1,2.236067977,0,0,0,0,58.865,18.1035442,47.875,19.41829839,4.99,2.433143543,1.766666667,8,3,2.716666667,12,1,0.316666667,19,0,1.033333333,30,0,2,1,1,0,1,2,2,4,2,2,2,2,1,0,1,1,0,0,0,0,2,3,2,2,0,0,0,Y,621159.4492,5330018.116,-0.128427003,0.116704882,0.047810823,0.089314059
LE31SE2,LE31SE,3,2.738612788,97,2.738612788,0,0,0,0,0,0,0,0,51.74,3.199540983,44.25,5.104379247,4.225,1.31565098,1.466666667,8,2,2.4,12,0,0,19,0,0.716666667,30,0,2,1,3,1,3,3,4,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,621543.7831,5329896.422,-0.128602226,0.116794495,0.047596565,0.089258966
LE31SE3,LE31SE,5,8.660254038,95,8.660254038,0,0,0,0,0,0,0,0,51.85,6.922472463,40,4.550068681,5.64,1.827959928,1.616666667,8,2,2.55,12,1,0.15,19,0,0.866666667,30,0,4,2,2,1,4,3,3,4,0,1,2,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,Y,621318.8868,5329803.288,-0.128504168,0.116645643,0.047890392,0.089579208
LE33NE1,LE33NE,11,6.519202405,89,6.519202405,0,0,0,0,0,0,0,0,41.13,4.697851903,31.25,8.558164961,3.935,1.881538599,0.266666667,8,2,2.183333333,18,0,0.216666667,27,2,0.3,36,0,1,1,1,0,3,3,3,4,0,1,1,1,1,0,0,0,1,2,1,2,0,1,1,0,0,0,0,Y,624368.7035,5330934.971,-0.129153351,0.118171274,0.043816113,0.085119836
LE33NE2,LE33NE,27,8.366600265,72,8.366600265,1,2.236067977,0,0,1,2.236067977,0,0,51.28,5.737252173,40,7.112379173,4.085,2.13150475,0.6,8,3,2.5,18,1,0.566666667,27,2,0.5,36,0,1,2,1,0,4,3,4,3,0,0,1,2,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,N,624849.9312,5331029.49,-0.129136017,0.118288493,0.043219374,0.084501635
LE33NE3,LE33NE,12,10.36822068,88,10.36822068,0,0,0,0,0,0,0,0,54.425,8.713280094,35.25,5.704302105,3.29,3.282653271,0.433333333,8,3,2.333333333,18,0,0.383333333,27,2,0.683333333,36,0,2,2,0,1,2,3,4,4,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,N,624600.9465,5330781.598,-0.129178832,0.118128388,0.043741405,0.08518461
LE33NE4,LE33NE,9,11.93733639,91,11.93733639,0,0,0,0,0,0,0,0,49.85,1.773150445,37.125,5.127286075,5.45,1.601171446,0.783333333,8,3,2.683333333,18,1,0.766666667,27,3,0.85,36,0,2,1,1,1,3,3,4,5,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,N,624798.0364,5330598.936,-0.129197957,0.118058804,0.043730534,0.0853296
LE33NE5,LE33NE,4,4.183300133,96,4.183300133,0,0,0,0,0,0,0,0,55.035,7.382149077,41.5,12.95726148,5.755,2.720202198,0.966666667,8,2,2.866666667,18,1,0.95,27,4,1.033333333,36,0,1,1,0,1,4,3,4,3,2,1,2,2,0,1,0,1,0,0,1,0,1,1,1,1,2,0,2,Y,624432.799,5330613.898,-0.12919806,0.1180142,0.044091069,0.085641442
OA27NW1,OA27NW,9,6.519202405,91,6.519202405,0,0,1,2.236067977,0,0,0,0,21.1,4.913342803,11,2.74573533,1.555,1.042443044,0.016666667,7,0,2.566666667,17,1,2.683333333,24,1,0.233333333,35,1,0,0,1,0,4,3,4,5,0,0,0,0,0,0,0,0,4,2,1,2,1,0,0,0,0,0,0,N,627078.8659,5303682.168,0.22008731,0.081923598,0.04432915,-0.077602881
OA27NW2,OA27NW,5,8.660254038,95,8.660254038,0,0,1,2.236067977,0,0,0,0,13.96,5.076742312,5.125,2.702718539,0.285,0.216217483,0.366666667,7,0,2.75,17,1,2.866666667,24,1,0.783333333,35,0,0,0,0,0,3,2,4,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,0,N,627483.4192,5303709.236,0.218689858,0.093691168,0.020306848,0.008487839
OA27NW3,OA27NW,23,14.83239697,77,14.83239697,0,0,1,2.236067977,0,0,0,0,20.915,6.487309727,10.125,3.54656524,1.625,1.145507529,0.166666667,7,0,2.916666667,17,2,3.2,24,2,0.95,35,1,0,0,0,0,3,3,3,4,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,N,627259.9376,5303485.543,0.218711079,0.093702799,0.02031095,0.008491861
OA27NW4,OA27NW,19,16.73320053,81,16.73320053,0,0,1,2.236067977,1,2.236067977,0,0,29.05,7.52734598,14.25,2.436698586,1.68,0.579708979,0.533333333,7,0,3.083333333,17,2,3.05,24,2,0.6,35,1,0,0,0,0,4,4,5,5,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,N,627443.8459,5303289.129,0.218846832,0.093777543,0.020336448,0.008525512
OA36SW3,OA36SW,16,10.83974169,84,10.83974169,0,0,2,4.472135955,0,0,0,0,25.08,7.875583312,11.75,5.562148865,1.51,1.263502078,1.166666667,7,1,1.683333333,17,1,1.95,24,1,1.533333333,35,0,0,0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,N,630513.7787,5301098.126,0.219745659,0.094278305,0.020487372,0.008927594
OA36SW4,OA36SW,11,16.73320053,89,16.73320053,0,0,2,2.738612788,0,0,0,0,29.68,10.01245162,11.375,4.60129058,1.935,1.503911567,1.016666667,7,1,1.533333333,17,1,1.8,24,1,1.383333333,35,0,1,0,0,0,4,5,4,3,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,Y,630651.9017,5300895.186,0.219753591,0.094283387,0.02048667,0.008951492
OA36SW5,OA36SW,10,4.082482905,90,4.082482905,0,0,2.5,2.886751346,0,0,0,0,29.2,1.989660775,15.3125,5.508043361,2.275,4.074565416,1.683333333,7,1,2.133333333,17,1,2.283333333,24,2,1.883333333,35,1,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,N,630346.4883,5300919.926,0.21977226,0.09429287,0.020492579,0.00893202
RY11NW1,RY11NW,4,4.183300133,96,4.183300133,0,0,0,0,0,0,0,0,46.715,1.567501994,37.125,1.56873755,2.955,1.325400883,0,6,2,3.116666667,15,1,0,23,0,3.066666667,34,1,1,2,2,2,2,3,3,4,3,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,8,1,9,N,637957.4551,5318376.286,0.059405477,-0.161013742,-0.220107875,0.295522328
RY11NW5,RY11NW,5,3.535533906,95,3.535533906,0,0,0,0,0,0,0,0,46.47,6.188482245,37.25,4.298437216,3.65,1.681610092,0.333333333,6,1,3.316666667,15,0,0.183333333,23,0,3.25,34,1,1,2,0,0,2,2,3,4,0,0,1,1,1,0,0,0,1,0,0,0,2,3,3,2,33,3,36,N,637989.992,5317939.269,0.059430405,-0.160925275,-0.2198102,0.295209886
