Observer,Bird_Point,Time,Site,Visit,Date,Wind,Aou_Code,Distance,Detection,Flyover,Sex,Notes
JSC,LE20NE2,547,LE20NE,1,52715,3,MAGO,85,V,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,MAGO,85,V,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,MAGO,85,V,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,SAVS,31,S,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,SAVS,48,S,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,SAVS,51,S,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,WEME,83,S,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,WEME,94,S,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,BOBO,90,S,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,BRBL,42,S,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,BRBL,89,V,,,
JSC,LE20NE3,537,LE20NE,1,52715,4,SAVS,26,S,,,
JSC,LE20NE3,537,LE20NE,1,52715,4,LCSP,28,S,,,
JSC,LE20NE3,537,LE20NE,1,52715,4,WEME,83,S,,,
JSC,LE20NE3,537,LE20NE,1,52715,4,SEWR,50,S,,,
JSC,LE20NE3,537,LE20NE,1,52715,4,BOBO,90,S,,,
JSC,LE20NE3,537,LE20NE,1,52715,4,SAVS,40,S,,,
JSC,LE20NE3,537,LE20NE,1,52715,4,BOBO,48,V,,M,
JSC,LE20NE3,537,LE20NE,1,52715,4,MAWR,72,S,,,
JSC,LE24SW1,717,LE24SW,1,52715,2,BOBO,48,V,,M,
JSC,LE24SW1,717,LE24SW,1,52715,2,SEWR,65,S,,,
JSC,LE24SW1,717,LE24SW,1,52715,2,BOBO,51,V,,M,
JSC,LE24SW1,717,LE24SW,1,52715,2,CCSP,42,S,,,
JSC,LE24SW1,717,LE24SW,1,52715,2,COYE,89,S,,,
JSC,LE24SW1,717,LE24SW,1,52715,2,SAVS,49,S,,,
JSC,LE24SW1,717,LE24SW,1,52715,2,SAVS,61,S,,,
JSC,LE24SW1,717,LE24SW,1,52715,2,CCSP,55,V,,,
JSC,LE24SW1,717,LE24SW,1,52715,2,CCSP,57,V,,,
JSC,LE24SW2,728,LE24SW,1,52715,3,LCSP,20,S,,,
JSC,LE24SW2,728,LE24SW,1,52715,3,SAVS,32,S,,,
JSC,LE24SW2,728,LE24SW,1,52715,3,SAVS,48,S,,,
JSC,LE24SW2,728,LE24SW,1,52715,3,SAVS,52,S,,,
JSC,LE24SW2,728,LE24SW,1,52715,3,COYE,89,S,,,
JSC,LE24SW2,728,LE24SW,1,52715,3,SAVS,40,V,,,
JSC,LE24SW2,728,LE24SW,1,52715,3,SEWR,63,S,,,
JSC,LE24SW2,728,LE24SW,1,52715,3,BOBO,90,V,,M,
JSC,LE24SW3,737,LE24SW,1,52715,3,SAVS,33,S,,,
JSC,LE24SW3,737,LE24SW,1,52715,3,SEWR,89,S,,,
JSC,LE24SW3,737,LE24SW,1,52715,3,SEWR,93,S,,,
JSC,LE24SW3,737,LE24SW,1,52715,3,SWSP,90,S,,,
JSC,LE24SW3,737,LE24SW,1,52715,3,COYE,50,S,,,
JSC,LE24SW3,737,LE24SW,1,52715,3,SAVS,42,S,,,
JSC,LE24SW3,737,LE24SW,1,52715,3,SOSP,94,S,,,
JSC,OA22NE1,843,OA22NE,1,52615,1,RWBL,30,V,,M,
JSC,OA22NE1,843,OA22NE,1,52615,1,LCSP,25,S,,,
JSC,OA22NE1,843,OA22NE,1,52615,1,SAVS,40,V,,,
JSC,OA22NE1,843,OA22NE,1,52615,1,RWBL,55,S,,,
JSC,OA22NE1,843,OA22NE,1,52615,1,WEME,82,V,,,
JSC,OA22NE1,843,OA22NE,1,52615,1,GRSP,40,S,,,
JSC,OA22NE1,843,OA22NE,1,52615,1,RWBL,87,V,,M,
JSC,OA22NE2,927,OA22NE,1,52615,1,GRSP,35,S,,,
JSC,OA22NE2,927,OA22NE,1,52615,1,GRSP,40,S,,,
JSC,OA22NE2,927,OA22NE,1,52615,1,BOBO,78,V,,M,
JSC,OA22NE2,927,OA22NE,1,52615,1,CCSP,62,S,,,
JSC,OA22NE2,927,OA22NE,1,52615,1,RWBL,90,V,,M,
JSC,OA22NE2,927,OA22NE,1,52615,1,SAVS,63,S,,,
JSC,OA22NE2,927,OA22NE,1,52615,1,WEME,88,S,,,
JSC,OA22NE3,853,OA22NE,1,52615,2,GRSP,38,S,,,
JSC,OA22NE3,853,OA22NE,1,52615,2,WEME,67,S,,,
JSC,OA22NE3,853,OA22NE,1,52615,2,GRSP,32,S,,,
JSC,OA22NE3,853,OA22NE,1,52615,2,SAVS,48,S,,,
JSC,OA22NE3,853,OA22NE,1,52615,2,SAVS,77,V,,,
JSC,OA22NE4,914,OA22NE,1,52615,2,WEME,95,V,,,
JSC,OA22NE4,914,OA22NE,1,52615,2,RWBL,90,V,,M,
JSC,OA22NE4,914,OA22NE,1,52615,2,SAVS,67,S,,,
JSC,OA22NE4,914,OA22NE,1,52615,2,CCSP,60,S,,,
JSC,OA22NE4,914,OA22NE,1,52615,2,WEME,90,S,,,
JSC,OA22NE5,902,OA22NE,1,52615,2,BOBO,83,V,,M,
JSC,OA22NE5,902,OA22NE,1,52615,2,BOBO,83,V,,M,
JSC,OA22NE5,902,OA22NE,1,52615,2,CCSP,60,S,,,
JSC,OA22NE5,902,OA22NE,1,52615,2,GRSP,46,S,,,
JSC,OA22NE5,902,OA22NE,1,52615,2,CCSP,15,V,,,
JSC,OA22NE5,902,OA22NE,1,52615,2,SAVS,42,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,SEWR,58,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,SEWR,65,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,RWBL,90,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,BOBO,80,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,WEME,87,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,SAVS,43,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,SAVS,49,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,SEWR,68,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,RWBL,87,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,SWSP,75,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,COYE,85,S,,,
JSC,RY11NW1,535,RY11NW,1,53015,2,COYE,77,S,,,
JSC,RY11NW3,545,RY11NW,1,53015,2,RWBL,60,V,,M,
JSC,RY11NW3,545,RY11NW,1,53015,2,BOBO,75,V,,M,
JSC,RY11NW3,545,RY11NW,1,53015,2,BOBO,75,V,,M,
JSC,RY11NW3,545,RY11NW,1,53015,2,SAVS,40,S,,,
JSC,RY11NW3,545,RY11NW,1,53015,2,MAWR,60,S,,,
JSC,RY11NW3,545,RY11NW,1,53015,2,MAWR,72,S,,,
JSC,RY11NW3,545,RY11NW,1,53015,2,NESP,49,S,,,
JSC,RY11NW3,545,RY11NW,1,53015,2,RWBL,89,V,,M,
JSC,RY11NW3,545,RY11NW,1,53015,2,SAVS,67,S,,,
JSC,RY11NW3,545,RY11NW,1,53015,2,MALL,70,V,,M,
JSC,RY11NW3,545,RY11NW,1,53015,2,SEWR,42,S,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,AMGO,25,V,,M,
JSC,RY11NW5,555,RY11NW,1,53015,1,AMGO,25,V,,M,
JSC,RY11NW5,555,RY11NW,1,53015,1,SAVS,48,S,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,SAVS,49,S,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,CCSP,52,S,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,WEME,95,S,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,CCSP,61,S,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,BHCO,78,S,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,LCSP,40,S,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,EAKI,92,V,,,
JSC,RY11NW5,555,RY11NW,1,53015,1,BOBO,85,S,,,
JSC,FE27NE1,620,FE27NE,1,53015,0,BOBO,87,S,,,
JSC,FE27NE1,620,FE27NE,1,53015,0,BOBO,79,S,,,
JSC,FE27NE1,620,FE27NE,1,53015,0,SEWR,75,S,,,
JSC,FE27NE1,620,FE27NE,1,53015,0,CCSP,63,S,,,
JSC,FE27NE1,620,FE27NE,1,53015,0,SAVS,49,S,,,
JSC,FE27NE1,620,FE27NE,1,53015,0,BOBO,71,V,,M,
JSC,FE27NE1,620,FE27NE,1,53015,0,BOBO,62,V,,M,
JSC,FE27NE1,620,FE27NE,1,53015,0,RWBL,93,S,,,
JSC,FE27NE1,620,FE27NE,1,53015,0,COYE,86,S,,,
JSC,FE27NE1,620,FE27NE,1,53015,0,SEWR,79,S,,,
JSC,FE27NE3,629,FE27NE,1,53015,0,CCSP,35,V,,,
JSC,FE27NE3,629,FE27NE,1,53015,0,COYE,87,S,,,
JSC,FE27NE3,629,FE27NE,1,53015,0,SAVS,61,S,,,
JSC,FE27NE3,629,FE27NE,1,53015,0,COYE,68,S,,,
JSC,FE27NE3,629,FE27NE,1,53015,0,SEWR,69,S,,,
JSC,FE27NE3,629,FE27NE,1,53015,0,BOBO,41,V,,M,
JSC,FE27NE3,629,FE27NE,1,53015,0,BOBO,68,V,,M,
JSC,FE27NE3,629,FE27NE,1,53015,0,RWBL,70,S,,,
JSC,FE27NE3,629,FE27NE,1,53015,0,SAVS,40,S,,,
JSC,FE27NE2,640,FE27NE,1,53015,1,SAVS,43,S,,,
JSC,FE27NE2,640,FE27NE,1,53015,1,SAVS,36,S,,,
JSC,FE27NE2,640,FE27NE,1,53015,1,RWBL,91,V,,M,
JSC,FE27NE2,640,FE27NE,1,53015,1,MAWR,87,S,,,
JSC,FE27NE2,640,FE27NE,1,53015,1,RWBL,70,S,,,
JSC,FE27NE2,640,FE27NE,1,53015,1,RWBL,75,S,,,
JSC,FE27NE2,640,FE27NE,1,53015,1,BOBO,92,V,,M,
JSC,FE27NE2,640,FE27NE,1,53015,1,CCSP,68,S,,,
JSC,FE27NE2,640,FE27NE,1,53015,1,SEWR,70,S,,,
JSC,FE27NE2,640,FE27NE,1,53015,1,SAVS,50,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,COYE,63,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,BOBO,89,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,COYE,68,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,RWBL,73,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,CCSP,78,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,SAVS,35,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,RWBL,82,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,SEWR,85,S,,,
JSC,FE27NE4,651,FE27NE,1,53015,1,SAVS,45,S,,,
JSC,FE27NE5,704,FE27NE,1,53015,1,BOBO,52,V,,M,
JSC,FE27NE5,704,FE27NE,1,53015,1,BOBO,60,V,,M,
JSC,FE27NE5,704,FE27NE,1,53015,1,SAVS,43,S,,,
JSC,FE27NE5,704,FE27NE,1,53015,1,RWBL,58,S,,,
JSC,FE27NE5,704,FE27NE,1,53015,1,RWBL,63,S,,,
JSC,FE27NE5,704,FE27NE,1,53015,1,SEWR,67,S,,,
JSC,FE27NE5,704,FE27NE,1,53015,1,BOBO,45,V,,M,
JSC,FE27NE5,704,FE27NE,1,53015,1,SAVS,60,S,,,
JSC,FE17NW4,731,FE17NW,1,53015,1,RWBL,63,V,,M,
JSC,FE17NW4,731,FE17NW,1,53015,1,SAVS,63,S,,,
JSC,FE17NW4,731,FE17NW,1,53015,1,SAVS,50,S,,,
JSC,FE17NW4,731,FE17NW,1,53015,1,SAVS,42,S,,,
JSC,FE17NW4,731,FE17NW,1,53015,1,SAVS,30,V,,,
JSC,FE17NW4,731,FE17NW,1,53015,1,RWBL,68,S,,,
JSC,FE17NW4,731,FE17NW,1,53015,1,BOBO,89,S,,,
JSC,FE17NW4,731,FE17NW,1,53015,1,RWBL,55,V,,M,
JSC,FE17NW4,731,FE17NW,1,53015,1,RWBL,71,V,,M,
JSC,FE17NW4,731,FE17NW,1,53015,1,WEME,78,V,,,
JSC,FE17NW3,740,FE17NW,1,53015,1,BOBO,0,V,,M,
JSC,FE17NW3,740,FE17NW,1,53015,1,SAVS,5,V,,,
JSC,FE17NW3,740,FE17NW,1,53015,1,SAVS,30,S,,,
JSC,FE17NW3,740,FE17NW,1,53015,1,RWBL,78,V,,M,
JSC,FE17NW3,740,FE17NW,1,53015,1,SAVS,25,V,,,
JSC,FE17NW3,740,FE17NW,1,53015,1,SAVS,50,V,,,
JSC,FE17NW3,740,FE17NW,1,53015,1,BOBO,87,V,,M,
JSC,FE17NW3,740,FE17NW,1,53015,1,CCSP,43,S,,,
JSC,FE17NW3,740,FE17NW,1,53015,1,SAVS,41,V,,,
JSC,FE17NW1,748,FE17NW,1,53015,2,RWBL,75,V,,M,
JSC,FE17NW1,748,FE17NW,1,53015,2,SAVS,63,S,,,
JSC,FE17NW1,748,FE17NW,1,53015,2,BOBO,68,V,,M,
JSC,FE17NW1,748,FE17NW,1,53015,2,BOBO,72,V,,M,
JSC,FE17NW1,748,FE17NW,1,53015,2,RWBL,78,V,,M,
JSC,FE17NW1,748,FE17NW,1,53015,2,RWBL,70,V,,M,
JSC,FE17NW1,748,FE17NW,1,53015,2,BOBO,79,V,,M,
JSC,FE17NW1,748,FE17NW,1,53015,2,CCSP,42,V,,,
JSC,FE17NW1,748,FE17NW,1,53015,2,SAVS,31,V,,,
JSC,FE17NW1,748,FE17NW,1,53015,2,BOBO,55,V,,M,
JSC ,LA16NW2,811,LA16NW,1,53015,2,RWBL,30,V,,M,
JSC ,LA16NW2,811,LA16NW,1,53015,2,SEWR,42,S,,,
JSC ,LA16NW2,811,LA16NW,1,53015,2,SEWR,45,S,,,
JSC ,LA16NW2,811,LA16NW,1,53015,2,SAVS,37,S,,,
JSC ,LA16NW2,811,LA16NW,1,53015,2,MAWR,40,S,,,
JSC ,LA16NW2,811,LA16NW,1,53015,2,RWBL,68,V,,M,
JSC ,LA16NW2,811,LA16NW,1,53015,2,RWBL,55,V,,M,
JSC ,LA16NW2,811,LA16NW,1,53015,2,SAVS,58,S,,,
JSC ,LA16NW2,811,LA16NW,1,53015,2,BOBO,90,S,,,
JSC,LA16NW3,820,LA16NW,1,53015,3,WEME,68,V,,,
JSC,LA16NW3,820,LA16NW,1,53015,3,SAVS,51,S,,,
JSC,LA16NW3,820,LA16NW,1,53015,3,SAVS,43,S,,,
JSC,LA16NW3,820,LA16NW,1,53015,3,SAVS,55,S,,,
JSC,LA16NW3,820,LA16NW,1,53015,3,SAVS,58,V,,,
JSC,LA16NW3,820,LA16NW,1,53015,3,BOBO,88,V,,M,
JSC,LA16NW4,829,LA16NW,1,53015,2,SEWR,60,S,,,
JSC,LA16NW4,829,LA16NW,1,53015,2,SAVS,43,S,,,
JSC,LA16NW4,829,LA16NW,1,53015,2,SAVS,48,S,,,
JSC,LA16NW4,829,LA16NW,1,53015,2,BOBO,83,V,,M,
JSC,LA16NW4,829,LA16NW,1,53015,2,SAVS,50,S,,,
JSC,LA16NW4,829,LA16NW,1,53015,2,RWBL,90,S,,,
JSC,LA16NW4,829,LA16NW,1,53015,2,WEME,88,S,,,
JSC,LA16NW5,839,LA16NW,1,53015,3,SAVS,52,S,,,
JSC,LA16NW5,839,LA16NW,1,53015,3,BOBO,90,V,,M,
JSC,LA16NW5,839,LA16NW,1,53015,3,SAVS,43,S,,,
JSC,LA16NW5,839,LA16NW,1,53015,3,SEWR,50,S,,,
JSC,LA16NW5,839,LA16NW,1,53015,3,BOBO,55,S,,,
JSC,LA16NW5,839,LA16NW,1,53015,3,WEME,90,S,,,
JSC,LA16NW5,839,LA16NW,1,53015,3,SAVS,43,S,,,
JSC,LA16NW1,849,LA16NW,1,53015,4,SEWR,42,S,,,
JSC,LA16NW1,849,LA16NW,1,53015,4,SAVS,50,S,,,
JSC,LA16NW1,849,LA16NW,1,53015,4,RWBL,60,S,,,
JSC,LA16NW1,849,LA16NW,1,53015,4,BOBO,36,V,,M,
JSC,LA16NW1,849,LA16NW,1,53015,4,NESP,38,S,,,
JSC,LA16NW1,849,LA16NW,1,53015,4,SAVS,56,V,,,
JSC,LA16NW1,849,LA16NW,1,53015,4,SAVS,63,S,,,
JSC,LA16NW1,849,LA16NW,1,53015,4,SAVS,58,V,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,WEME,52,S,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,WEME,61,S,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,WEME,93,S,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,SAVS,35,S,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,SAVS,46,S,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,SAVS,53,S,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,SAVS,62,S,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,CCSP,68,S,,,
JSC,OA27NW1,535,OA27NW,1,531115,0,WEME,72,S,,,
JSC,OA27NW3,544,OA27NW,1,53115,0,KILL,58,S,,,
JSC,OA27NW3,544,OA27NW,1,53115,0,SAVS,42,S,,,
JSC,OA27NW3,544,OA27NW,1,53115,0,WEME,61,S,,,
JSC,OA27NW3,544,OA27NW,1,53115,0,SAVS,48,S,,,
JSC,OA27NW3,544,OA27NW,1,53115,0,SAVS,42,S,,,
JSC,OA27NW3,544,OA27NW,1,53115,0,WEME,78,S,,,
JSC,OA27NW3,544,OA27NW,1,53115,0,BHCO,60,S,,,
JSC,OA27NW2,556,OA27NW,1,53115,0,COYE,72,S,,,
JSC,OA27NW2,556,OA27NW,1,53115,0,WEME,82,S,,,
JSC,OA27NW2,556,OA27NW,1,53115,0,SAVS,43,S,,,
JSC,OA27NW2,556,OA27NW,1,53115,0,SAVS,67,S,,,
JSC,OA27NW2,556,OA27NW,1,53115,0,WEME,89,S,,,
JSC,OA27NW2,556,OA27NW,1,53115,0,SAVS,55,S,,,
JSC,OA27NW2,556,OA27NW,1,53115,0,EAKI,80,V,,,
JSC,OA27NW2,556,OA27NW,1,53115,0,EAKI,80,V,,,
JSC,OA27NW4,606,OA27NW,1,53115,0,SAVS,32,S,,,
JSC,OA27NW4,606,OA27NW,1,53115,0,SAVS,41,S,,,
JSC,OA27NW4,606,OA27NW,1,53115,0,SAVS,52,S,,,
JSC,OA27NW4,606,OA27NW,1,53115,0,WEME,91,S,,,
JSC,OA27NW4,606,OA27NW,1,53115,0,SAVS,48,S,,,
JSC,OA27NW4,606,OA27NW,1,53115,0,BHCO,92,V,,M,
JSC,OA36SW4,635,OA36SW,1,53115,1,SAVS,20,S,,,
JSC,OA36SW4,635,OA36SW,1,53115,1,SAVS,38,S,,,
JSC,OA36SW4,635,OA36SW,1,53115,1,SAVS,50,S,,,
JSC,OA36SW4,635,OA36SW,1,53115,1,BOBO,30,V,,M,
JSC,OA36SW4,635,OA36SW,1,53115,1,BHCO,81,V,,M,
JSC,OA36SW4,635,OA36SW,1,53115,1,WEME,63,S,,,
JSC,OA36SW4,635,OA36SW,1,53115,1,UPSA,78,S,,,
JSC,OA36SW4,635,OA36SW,1,53115,1,SAVS,64,S,,,
JSC,OA36SW3,644,OA36SW,1,53115,1,GRSP,38,S,,,
JSC,OA36SW3,644,OA36SW,1,53115,1,SAVS,41,S,,,
JSC,OA36SW3,644,OA36SW,1,53115,1,SAVS,52,S,,,
JSC,OA36SW3,644,OA36SW,1,53115,1,WEME,84,S,,,
JSC,OA36SW3,644,OA36SW,1,53115,1,WEME,75,S,,,
JSC,OA36SW3,644,OA36SW,1,53115,1,BHCO,70,S,,,
JSC,OA36SW3,644,OA36SW,1,53115,1,SAVS,32,V,,,
JSC,OA36SW2,654,OA36SW,1,53115,1,SAVS,60,S,,,
JSC,OA36SW2,654,OA36SW,1,53115,1,SAVS,56,S,,,
JSC,OA36SW2,654,OA36SW,1,53115,1,SAVS,32,S,,,
JSC,OA36SW2,654,OA36SW,1,53115,1,SAVS,41,S,,,
JSC,OA36SW2,654,OA36SW,1,53115,1,WEME,85,S,,,
JSC,OA36SW2,654,OA36SW,1,53115,1,WEME,90,S,,,
JSC,OA36SW1,705,OA36SW,1,53115,1,WEME,4,V,,M,
JSC,OA36SW1,705,OA36SW,1,53115,1,SAVS,36,S,,,
JSC,OA36SW1,705,OA36SW,1,53115,1,SAVS,30,S,,,
JSC,OA36SW1,705,OA36SW,1,53115,1,SAVS,54,S,,,
JSC,OA36SW1,705,OA36SW,1,53115,1,MALL,92,V,,M,
JSC,OA36SW1,705,OA36SW,1,53115,1,RWBL,90,S,,,
JSC,OA36SW1,705,OA36SW,1,53115,1,WEME,85,S,,,
JSC,OA36SW1,705,OA36SW,1,53115,1,WEME,90,V,,,
JSC,OA36SW1,705,OA36SW,1,53115,1,SAVS,38,V,,,
JSC,OA36SW5,715,OA36SW,1,53115,1,WEME,85,S,,,
JSC,OA36SW5,715,OA36SW,1,53115,1,SAVS,41,S,,,
JSC,OA36SW5,715,OA36SW,1,53115,1,SAVS,38,S,,,
JSC,OA36SW5,715,OA36SW,1,53115,1,BHCO,61,V,,M,
JSC,OA36SW5,715,OA36SW,1,53115,1,SAVS,55,S,,,
JSC,OA36SW5,715,OA36SW,1,53115,1,SAVS,25,V,,,
JSC,OA36SE1,735,OA36SE,1,53115,1,BOBO,78,V,,M,
JSC,OA36SE1,735,OA36SE,1,53115,1,RWBL,57,S,,,
JSC,OA36SE1,735,OA36SE,1,53115,1,RWBL,50,S,,,
JSC,OA36SE1,735,OA36SE,1,53115,1,COYE,53,S,,,
JSC,OA36SE1,735,OA36SE,1,53115,1,MODO,61,V,,,
JSC,OA36SE1,735,OA36SE,1,53115,1,RWBL,72,V,,M,
JSC,OA36SE1,735,OA36SE,1,53115,1,RWBL,73,V,,M,
JSC,OA36SE1,735,OA36SE,1,53115,1,WISN,78,S,,,
JSC,OA36SE1,735,OA36SE,1,53115,1,WIFL,31,V,,,
JSC,OA36SE1,735,OA36SE,1,53115,1,YHBL,79,S,,,
JSC,FA12NE2,753,FA12NE,1,53115,1,SAVS,30,V,,,
JSC,FA12NE2,753,FA12NE,1,53115,1,WEME,60,S,,,
JSC,FA12NE2,753,FA12NE,1,53115,1,WEME,78,S,,,
JSC,FA12NE2,753,FA12NE,1,53115,1,SAVS,65,V,,,
JSC,FA12NE2,753,FA12NE,1,53115,1,SAVS,73,S,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,UPSA,35,V,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,SAVS,51,S,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,SAVS,48,S,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,SAVS,40,S,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,CCSP,68,S,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,WEME,84,S,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,EAKI,75,V,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,SAVS,68,S,,,
JSC,FA12NE1,804,FA12NE,1,53115,2,EAKI,75,V,,,
JSC,FA12NE3,814,FA12NE,1,53115,2,SAVS,52,S,,,
JSC,FA12NE3,814,FA12NE,1,53115,2,SAVS,50,S,,,
JSC,FA12NE3,814,FA12NE,1,53115,2,WEME,81,S,,,
JSC,FA12NE3,814,FA12NE,1,53115,2,SAVS,59,S,,,
JSC,FA12NE3,814,FA12NE,1,53115,2,WEME,72,S,,,
JSC,FA12NE3,814,FA12NE,1,53115,2,NESP,85,S,,,
