Bird_Point,GrassAvg,Trees,Shrubs,WoodyIndex,Invert,Type,BareAvg,AmtCat,site,Observer,Time1,Date1,Cloud1,Temp1,Wind1,Time2,Date2,Cloud2,Temp2,Wind2,Time3,Date3,Cloud3,Temp3,Wind3,BoVisit1,BoVisit2,BoVisit3,SaVisit1,SaVisit2,SaVisit3,SeVisit1,SeVisit2,SeVisit3,LcVisit1,LcVisit2,LcVisit3,WeVisit1,WeVisit2,WeVisit3,CcVisit1,CcVisit2,CcVisit3,LiveHtAvg,LiveHtSD,VORAvg,VORSD,LitterDptAvg,LitterDptSD,UTM_E,UTM_N,EigenOne,EigenTwo,EigenThree,EigenFour
LE14SW2,92.07,3,2,5,0.1281,H,0,1436.781542,LE14SW2,JSC,1.8,10,0,16.7,3,1.616666667,20,5,15.2,0,0.566666667,30,35,17.2,0,4,3,2,7,2,3,0,0,1,0,1,1,0,0,0,1,2,3,39.76,6.732769675,26,7.751007999,4.3066,1.877483102,627208.6718,5335034.433,-0.118386576,0.21703193,-0.043877248,-0.147951813
LE14SW5,79.98,0,7,7,0.071,H,0,0,LE14SW5,JSC,1.183333333,10,1,14.6,1,0.966666667,20,0,12.9,0,-0.016666667,30,14,15.5,1,5,2,3,3,2,6,0,3,1,0,0,0,0,1,0,1,2,1,35.595,6.810800247,27.5,21.30049148,2.0034,0.685324959,626807.5616,5334623.856,-0.118707987,0.217266463,-0.043502917,-0.148086638
LE20NW1,80.08,5,9,14,0.1009,I,0,46.410116,LE20NW1,JSC,2.55,10,0,17.5,2,-0.016666667,20,0,8.2,0,1.2,30,5,20.1,0,0,1,1,6,2,4,0,1,0,0,0,0,1,1,0,0,3,3,43.65,8.550182747,24.25,7.280646434,2.47,0.746742928,621938.1679,5334200.522,-0.112968008,0.204725308,0.058261064,-0.206669903
LE20NW3,71.27,2,7,9,0.1142,I,0,136.181103,LE20NW3,JSC,2.783333333,10,0,17.5,2,0.266666667,20,0,10.5,0,1.383333333,30,5,20.4,0,3,3,4,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1,39.25,11.72988971,22,9.00737545,1.635,1.058684325,622143.0942,5333991.823,-0.113115513,0.204879964,0.05839193,-0.206786785
LE20NW5,88.2,3,13,16,0.0313,I,0,1674.792076,LE20NW5,JSC,3.283333333,10,1,19.1,2,0.483333333,20,0,10.3,0,1.583333333,30,10,20,1,3,1,0,3,3,2,0,1,0,0,0,0,1,0,0,1,2,4,28.135,8.356408469,17.75,8.144208065,1.335,0.64362256,621954.9724,5333805.697,-0.119694606,0.183706384,0.093763837,-0.128258916
LE24SE1,72.26,0,12,12,0.0836,I,0,2736.518126,LE24SE1,JSC,0.4,10,2,12,0,2.8,20,10,17.5,3,2.6,30,5,20.5,2,2,5,0,2,2,2,0,0,3,0,0,0,0,0,0,1,1,3,40.775,4.549381826,32.5,4.192627458,1.82,1.005982107,629232.0441,5333415.887,-0.11832838,0.216374232,-0.046384716,-0.145825185
LE24SE4,61.02,0,0,0,0.1476,I,1,0,LE24SE4,JSC,0.033333333,10,5,10.6,3,3.033333333,20,25,19.6,2,2.8,30,4,20.7,1,2,2,1,3,4,5,1,2,1,0,0,1,0,1,0,1,1,1,41.71,6.881101838,34,7.598313958,1.635,1.72133669,629168.653,5333008.759,-0.118499472,0.216419263,-0.046391384,-0.145688325
LE33NE1,66.82,0,0,0,0.2009,I,0,4835.828847,LE33NE1,JSC,3.033333333,16,5,16.8,3,0.35,27,18,14.6,1,1.3,37,0,16.2,0,2,4,0,3,3,4,0,0,0,0,0,0,1,1,2,0,0,1,26.51,9.0627431,18.625,7.334102706,1.445,0.784498247,624371.8826,5331000.516,-0.145470395,0.124612221,0.086312922,0.228967564
LE33NE2,81.91,1,0,1,0.0897,I,0,1061.187956,LE33NE2,JSC,3.316666667,16,3,17.2,2,0.583333333,27,15,14.9,1,1.533333333,37,0,16.8,0,2,3,0,2,2,5,1,1,0,0,1,0,0,2,1,2,2,1,42.39,11.11517263,30.25,3.765592583,5.2,4.754208662,624849.9312,5331029.49,-0.145430525,0.124951681,0.085565,0.228244136
LE33NE3,75.07,0,6,6,0.1784,I,1,0,LE33NE3,JSC,3.55,16,3,17.8,2,0.783333333,27,20,14.6,1,1.75,37,0,17.4,0,3,0,0,3,5,4,0,0,0,0,0,0,0,1,2,0,1,0,36.805,8.125046154,26.25,9.457966219,5.07,3.469257846,624600.9465,5330781.598,-0.145517814,0.12449054,0.086139251,0.229533462
LE33NE4,92.47,1,0,1,0.1772,I,0,0,LE33NE4,JSC,3.783333333,16,5,18.1,2,0.983333333,27,20,14.3,2,1.933333333,37,0,17,0,5,2,0,1,4,3,0,2,1,0,1,0,0,0,1,0,0,2,39.945,8.683738394,30.125,6.364574809,4.085,2.366999683,624798.0364,5330598.936,-0.14554559,0.124383606,0.085972881,0.229980408
LE33NE5,92.53,1,6,7,0.1125,I,6,2835.17535,LE33NE5,JSC,4,16,2,18.3,2,1.216666667,27,30,13.7,1,2.15,37,0,17.5,0,1,1,0,3,5,1,0,0,0,0,0,0,0,0,1,1,3,1,31.835,14.56806868,28.75,12.74754878,4.395,3.471869093,624373.0347,5330558.473,-0.145581066,0.12406049,0.08664493,0.230674747
OA22NE3,64.34,0,0,0,0.2298,I,1,0,OA22NE3,JSC,0.683333333,17,10,11.9,1,3.433333333,28,0,23.2,2,2.166666667,38,90,15.6,2,2,1,0,3,2,3,0,0,0,0,0,0,5,2,2,1,0,0,28.105,4.304372777,17.5,1.169267933,1.06,0.646287475,627993.4454,5305070.65,0.199011729,-0.007186553,0.04197133,-0.08473889
OA22NE4,54.56,0,0,0,0.3334,I,14,0,OA22NE4,JSC,0.9,17,10,12,1,3.85,28,0,25.5,2,2.55,38,100,16.6,2,0,0,0,1,5,3,0,0,1,1,0,0,2,2,2,0,0,0,26.335,10.27583026,12.25,7.242992303,0.89,0.642407581,628209.7888,5304854.192,0.202185117,0.023365154,0.034144703,0.009978419
OA22NE5,60.84,2,0,2,0.2108,I,0,0,OA22NE5,JSC,1.183333333,17,10,13,2,3.633333333,28,0,24.3,2,2.35,38,95,15.8,1,0,1,0,2,3,3,0,0,0,0,0,0,4,1,0,0,0,2,35.75,11.63941311,23.375,10.41708333,0.32,0.21462176,627763.0559,5304852.35,0.202112272,0.02334942,0.034095081,0.00995181
OA27NW1,95.05,0,0,0,0.1447,G,2,0,OA27NW1,JSC,1.983333333,17,30,17.5,2,1.583333333,28,6,17.9,2,0.583333333,38,30,13.9,1,0,0,0,4,4,4,0,0,0,0,1,0,2,2,3,0,0,0,19.78,4.365396603,6.875,1.926379376,1.555,1.080711571,627078.8659,5303682.168,0.202457376,0.023428008,0.034328108,0.010123033
OA27NW2,83.02,0,0,0,0.0266,G,11,752.937724,OA27NW2,JSC,2.233333333,17,15,18,3,1.8,28,2,18,2,0.933333333,38,80,12.8,1,0,0,0,1,2,4,0,0,0,1,0,0,1,2,3,0,0,1,11.555,7.926683575,7.375,3.348273809,0.475,1.007161854,627483.4192,5303709.236,0.202560896,0.023449393,0.034399286,0.010149132
OA27NW5,74.28,0,0,0,0.0678,G,1.2,0,OA27NW5,JSC,2.866666667,17,8,19.2,2,2.066666667,28,3,18.6,2,1.333333333,38,80,14.4,1,0,0,0,1,1,4,0,0,0,0,1,0,5,3,2,0,1,0,22.025,8.556302502,9.125,1.135368883,1.515,1.156584411,627054.0282,5303276.289,0.202578436,0.023456191,0.034409424,0.010190552
RY11NW5,97.32,22,8,30,0.099,I,0,0,RY11NW5,JSC,3.616666667,11,8,26.1,0,0.483333333,22,100,16.7,2,2.183333333,31,100,16,3,1,2,1,2,3,4,0,0,0,1,0,0,0,0,0,3,4,6,35.85,5.624194387,29.125,8.61049505,2.125,1.56833909,637989.992,5317939.269,0.010710883,-0.040269403,-0.523843429,0.123507332
