Observer,Point,StartTime,Site,Bird_Point,Visit,Date,Cloud,Temp,Wind,Aou_Code,Distance,Detection,Flyover,Sex
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,SEWR,70,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,SEWR,40,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,WEME,60,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,WEME,55,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,CCSP,43,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,SAVS,38,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,RWBL,52,V,,M
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,MAWR,32,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,MAWR,41,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,RWBL,57,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,SORA,76,S,,
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,SAVS,52,S,,
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,MAWR,31,S,,
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,MAWR,34,S,,
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,MAWR,48,S,,
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,MAWR,35,S,,
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,RWBL,41,V,,M
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,SORA,38,S,,
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,BOBO,63,V,,M
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,SAVS,17,V,,
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,BOBO,65,V,,M
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,BOBO,48,V,,M
JSC,3,747,BL18NE,BL18NE3,1,60614,89,13.5,9.8,RWBL,39,V,,M
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,RWBL,20,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,RWBL,19,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,SAVS,35,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,MAWR,31,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,COYE,30,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,MALL,38,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,WISN,43,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,SAVS,18,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,BOBO,25,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,SAVS,38,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,MAWR,28,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,RWBL,58,V,,M
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,RWBL,43,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,BOBO,53,V,,M
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,MAWR,40,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,CCSP,46,S,,
JSC,3,723,BL18NE,BL18NE3,2,61614,1,16.1,4,CCSP,43,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,MAWR,53,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,MAWR,48,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,RWBL,51,V,,M
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,RWBL,53,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,COYE,78,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,COYE,49,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,MAWR,82,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,SAVS,53,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,WEME,63,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,SORA,84,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,SORA,73,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,CCSP,50,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,RWBL,64,S,,
JSC,3,607,BL18NE,BL18NE3,3,62614,100,16.4,5.5,BWTE,66,V,,M
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,BOBO,25,V,,M
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,BOBO,57,V,,M
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,CCSP,46,S,,
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,SORA,42,S,,
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,SAVS,27,S,,
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,SAVS,35,S,,
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,WEME,37,S,,
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,WEME,32,S,,
JSC,4,735,BL18NE,BL18NE4,1,60614,90,13.2,7.9,SAVS,42,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,LCSP,20,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,SAVS,23,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,SAVS,33,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,COYE,45,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,CCSP,40,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,BOBO,52,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,RWBL,63,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,SORA,73,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,SAVS,27,V,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,CCSP,45,S,,
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,RWBL,23,V,,M
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,RWBL,59,V,,M
JSC,4,713,BL18NE,BL18NE4,2,61614,1,16,5.1,MALL,89,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,LCSP,10,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,WEME,54,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,SEWR,46,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,SAVS,36,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,YHBL,68,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,SEWR,73,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,RWBL,78,V,,M
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,RWBL,79,V,,M
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,RWBL,80,V,,M
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,YHBL,94,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,SAVS,54,S,,
JSC,4,556,BL18NE,BL18NE4,3,62614,99,16.5,4.5,SAVS,33,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,RWBL,24,V,,M
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,CCSP,36,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,CCSP,42,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,BOBO,57,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,BOBO,55,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,MAWR,58,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,AMBI,62,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,RWBL,65,V,,M
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,SORA,67,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,COYE,60,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,COYE,56,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,SAVS,46,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,SAVS,33,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,SAVS,37,S,,
JSC,5,723,BL18NE,BL18NE5,1,60614,90,13,8,MAWR,56,S,,
JSC,5,702,BL18NE,BL18NE5,2,61614,1,15.7,5,RWBL,25,V,,M
JSC,5,702,BL18NE,BL18NE5,2,61614,1,15.7,5,COYE,56,S,,
JSC,5,702,BL18NE,BL18NE5,2,61614,1,15.7,5,SAVS,43,S,,
JSC,5,702,BL18NE,BL18NE5,2,61614,1,15.7,5,BOBO,65,S,,
JSC,5,702,BL18NE,BL18NE5,2,61614,1,15.7,5,BOBO,53,S,,
JSC,5,702,BL18NE,BL18NE5,2,61614,1,15.7,5,EAKI,49,S,,
JSC,5,702,BL18NE,BL18NE5,2,61614,1,15.7,5,RWBL,48,V,,M
JSC,5,702,BL18NE,BL18NE5,2,61614,1,15.7,5,CCSP,43,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,RWBL,13,V,,M
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,RWBL,12,V,,M
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,RWBL,23,V,,M
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,EAKI,57,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,COYE,70,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,COYE,64,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,SORA,68,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,SAVS,48,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,MAWR,76,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,CCSP,43,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,SAVS,38,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,LCSP,49,S,,
JSC,5,545,BL18NE,BL18NE5,3,62614,99,16,6,WEME,63,S,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,YHBL,35,V,,M
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,RWBL,26,V,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,YHBL,37,S,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,YHBL,39,S,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,BOBO,42,V,,M
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,YHBL,65,V,,M
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,WISN,78,S,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,SORA,39,S,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,RWBL,52,S,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,RWBL,53,S,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,YHBL,61,S,,
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,RWBL,16,V,,M
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,RWBL,16,V,,M
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,RWBL,16,V,,M
JSC,1,530,BL9SE,BL9SE1,1,60614,25,13.6,8.3,RWBL,16,V,,M
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,WIPH,68,S,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,SAVS,22,S,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,RWBL,41,S,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,WEME,38,S,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,WEME,43,S,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,YHBL,50,S,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,WEME,46,V,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,RWBL,46,V,,M
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,WEME,58,V,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,SAVS,32,S,,
JSC,1,821,BL9SE,BL9SE1,2,61614,0,17.6,8,SAVS,34,S,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,BOBO,71,V,,M
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,SAVS,36,S,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,RWBL,37,V,,M
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,RWBL,39,V,,M
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,RWBL,51,V,,M
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,SAVS,43,S,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,WEME,72,S,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,YHBL,63,S,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,WEME,70,S,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,KILL,81,V,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,SAVS,38,S,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,SAVS,27,S,,
JSC,2,556,BL9SE,BL9SE2,1,60614,70,13.5,9.5,YHBL,68,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,YHBL,34,V,,M
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,YHBL,43,V,,M
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,YHBL,53,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,YHBL,55,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,WEME,36,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,SAVS,34,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,RWBL,28,V,,M
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,SORA,43,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,COYE,45,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,SAVS,23,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,RWBL,29,V,,M
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,WEME,56,S,,
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,RWBL,59,V,,M
JSC,2,758,BL9SE,BL9SE2,2,61614,1,17,6.5,YHBL,68,V,,M
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,YHBL,52,V,,M
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,EAKI,26,V,,
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,YHBL,28,V,,M
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,YHBL,29,V,,M
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,RWBL,35,V,,M
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,CCSP,56,S,,
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,WEME,66,S,,
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,YHBL,54,V,,M
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,BARS,64,V,,
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,BARS,65,V,,
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,RWBL,61,V,,M
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,RWBL,20,V,,M
JSC,2,711,BL9SE,BL9SE2,3,62814,100,23,0,SAVS,78,S,,
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,YHBL,32,S,,
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,RWBL,37,V,,
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,SAVS,7,V,,
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,SORA,62,S,,
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,SORA,43,S,,
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,WISN,51,S,,
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,WISN,55,S,,
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,RWBL,34,V,,M
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,RWBL,38,V,,M
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,RWBL,67,V,,M
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,RWBL,71,V,,M
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,RWBL,74,V,,M
JSC,3,543,BL9SE,BL9SE3,1,60614,50,13.5,9.3,BOBO,65,V,,M
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,WEME,52,S,,
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,WEME,46,S,,
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,YHBL,75,V,,M
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,RWBL,63,S,,
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,YHBL,50,S,,
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,YHBL,68,S,,
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,SORA,81,S,,
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,RWBL,65,V,,M
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,WEME,65,V,,
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,RWBL,54,S,,
JSC,3,810,BL9SE,BL9SE3,2,61614,1,17.2,10.1,SAVS,31,S,,
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,RWBL,28,V,,M
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,WEME,42,S,,
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,WEME,56,S,,
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,SAVS,42,S,,
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,YHBL,58,S,,
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,YHBL,52,V,,M
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,YHBL,65,S,,
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,WEME,51,V,,M
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,RWBL,64,V,,M
JSC,3,721,BL9SE,BL9SE3,3,62814,100,23.6,0,SORA,78,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,SORA,72,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,WEME,67,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,BOBO,68,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,YHBL,70,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,COYE,63,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,WEME,82,V,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,RWBL,68,S,,M
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,YHBL,65,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,YHBL,72,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,RWBL,56,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,SAVS,33,S,,
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,RWBL,70,V,,M
JSC,4,627,BL9SE,BL9SE4,1,60614,75,13.4,9.9,RWBL,76,V,,M
JSC,4,836,BL9SE,BL9SE4,2,61614,2,18.2,9.1,YHBL,53,S,,
JSC,4,836,BL9SE,BL9SE4,2,61614,2,18.2,9.1,YHBL,54,S,,
JSC,4,836,BL9SE,BL9SE4,2,61614,2,18.2,9.1,YHBL,54,S,,
JSC,4,836,BL9SE,BL9SE4,2,61614,2,18.2,9.1,WEME,27,S,,
JSC,4,836,BL9SE,BL9SE4,2,61614,2,18.2,9.1,BOBO,26,V,,M
JSC,4,836,BL9SE,BL9SE4,2,61614,2,18.2,9.1,KILL,32,S,,
